date,exchange_rate
1059642371000,9.537
1059651929000,9.535
1059658674000,9.504
1059663328000,9.473
1059728199000,9.453
1059730571000,9.491
1059741847000,9.478
1059750646000,9.515
1060075276000,9.559
1060078199000,9.547
1060082854000,9.538
1060093522000,9.583
1060097186000,9.58
1060160010000,9.593
1060163803000,9.578
1060175785000,9.606
1060178579000,9.639
1060180962000,9.622
1060249714000,9.616
1060255651000,9.573
1060260684000,9.596
1060263016000,9.601
1060267330000,9.603
1060270995000,9.623
1060332348000,9.615
1060336622000,9.633
1060337855000,9.617
1060338135000,9.612
1060343091000,9.633
1060349401000,9.609
1060352714000,9.634
1060355998000,9.634
1060592574000,9.613
1060600578000,9.621
1060606034000,9.614
1060609047000,9.628
1060612258000,9.641
1060678199000,9.652
1060684644000,9.67
1060687646000,9.682
1060689010000,9.715
1060691441000,9.733
1060694544000,9.715
1060764586000,9.715
1060767699000,9.755
1060783749000,9.771
1060852024000,9.795
1060853088000,9.75
1060854530000,9.771
1060856582000,9.748
1060866697000,9.701
1060869319000,9.748
1060871945000,9.724
1060875011000,9.731
1060937661000,9.735
1060940715000,9.739
1060946929000,9.73
1060955387000,9.723
1060958752000,9.717
1061197634000,9.675
1061202798000,9.654
1061214893000,9.664
1061222951000,9.605
1061282663000,9.577
1061293693000,9.554
1061298328000,9.547
1061300059000,9.591
1061306127000,9.621
1061368841000,9.623
1061371912000,9.653
1061380975000,9.645
1061386290000,9.646
1061455171000,9.64
1061460277000,9.651
1061465962000,9.665
1061474311000,9.685
1061476142000,9.702
1061543009000,9.684
1061551866000,9.681
1061556242000,9.705
1061564838000,9.697
1061566789000,9.648
1061803342000,9.661
1061807247000,9.703
1061812411000,9.685
1061820421000,9.692
1061824533000,9.706
1061827107000,9.717
1061887931000,9.684
1061891865000,9.658
1061898373000,9.567
1061903231000,9.604
1061906023000,9.625
1061973730000,9.629
1061976276000,9.615
1061979558000,9.581
1061981628000,9.613
1061997483000,9.553
1062000033000,9.511
1062060269000,9.486
1062064336000,9.535
1062066290000,9.478
1062068453000,9.424
1062070227000,9.475
1062079812000,9.437
1062081175000,9.466
1062147263000,9.476
1062150545000,9.507
1062156806000,9.561
1062165765000,9.605
1062406920000,9.57
1062410833000,9.601
1062416815000,9.607
1062422741000,9.616
1062493397000,9.609
1062500395000,9.669
1062506339000,9.657
1062514407000,9.709
1062515501000,9.679
1062517621000,9.698
1062579363000,9.666
1062583660000,9.68
1062594380000,9.674
1062665390000,9.694
1062667857000,9.747
1062668518000,9.722
1062671884000,9.676
1062675982000,9.614
1062676673000,9.643
1062681838000,9.672
1062687055000,9.653
1062691412000,9.575
1062752387000,9.598
1062754147000,9.708
1062761971000,9.707
1062765265000,9.653
1062770970000,9.723
1063010870000,9.747
1063015968000,9.79
1063027617000,9.766
1063029791000,9.742
1063032776000,9.761
1063035207000,9.787
1063098005000,9.772
1063100069000,9.828
1063104186000,9.824
1063119393000,9.839
1063121462000,9.841
1063187719000,9.834
1063194344000,9.805
1063196269000,9.807
1063202156000,9.822
1063274013000,9.789
1063280066000,9.783
1063282458000,9.822
1063290879000,9.766
1063292132000,9.794
1063357212000,9.699
1063359535000,9.667
1063361306000,9.681
1063365217000,9.726
1063375063000,9.742
1063378900000,9.753
1063616995000,9.661
1063622034000,9.747
1063625615000,9.696
1063636725000,9.75
1063702470000,9.713
1063710631000,9.73
1063724305000,9.782
1063788576000,9.797
1063791640000,9.805
1063796308000,9.826
1063805562000,9.853
1063874762000,9.892
1063877597000,9.872
1063881852000,9.855
1063896559000,9.82
1063961462000,9.805
